date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:19	8412/8412	---M--	200	added ('OK')	image/jpeg	etag:%22572cac0d-20dc%22	http://shop.azelab.com/images/home-4/testemonials/av_3.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-4/testemonials/av_3.jpg	(from http://shop.azelab.com/home-4-electronics.html)
11:35:21	8802/8802	---M--	200	added ('OK')	image/jpeg	etag:%22572cac0d-2262%22	http://shop.azelab.com/images/home-4/testemonials/av_2.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-4/testemonials/av_2.jpg	(from http://shop.azelab.com/home-4-electronics.html)
11:35:23	8618/8618	---M--	200	added ('OK')	image/jpeg	etag:%22572cac0c-21aa%22	http://shop.azelab.com/images/home-4/testemonials/av_1.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-4/testemonials/av_1.jpg	(from http://shop.azelab.com/home-4-electronics.html)
11:35:37	423516/423516	---M--	200	added ('OK')	image/jpeg	etag:%22572cac07-6765c%22	http://shop.azelab.com/images/home-4/sales-product/4.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-4/sales-product/4.jpg	(from http://shop.azelab.com/home-4-electronics.html)
11:36:21	436520/436520	---M--	200	added ('OK')	image/jpeg	etag:%22572cac05-6a928%22	http://shop.azelab.com/images/home-4/sales-product/5.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-4/sales-product/5.jpg	(from http://shop.azelab.com/home-4-electronics.html)
11:36:22	427372/427372	---M--	200	added ('OK')	image/jpeg	etag:%22572cac08-6856c%22	http://shop.azelab.com/images/home-4/sales-product/6.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-4/sales-product/6.jpg	(from http://shop.azelab.com/home-4-electronics.html)
11:36:58	498338/498338	---M--	200	added ('OK')	image/jpeg	etag:%22572cac5a-79aa2%22	http://shop.azelab.com/images/home-5/slides/mini-slide/1.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/slides/mini-slide/1.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:37:21	737020/737020	---M--	200	added ('OK')	image/jpeg	etag:%22572cac16-b3efc%22	http://shop.azelab.com/images/home-5/slides/1.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/slides/1.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:37:40	493176/493176	---M--	200	added ('OK')	image/jpeg	etag:%22572cac5a-78678%22	http://shop.azelab.com/images/home-5/slides/mini-slide/2.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/slides/mini-slide/2.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:37:41	486494/486494	---M--	200	added ('OK')	image/jpeg	etag:%22572cac4e-76c5e%22	http://shop.azelab.com/images/home-5/products/tabs/1.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/tabs/1.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:38:16	485992/485992	---M--	200	added ('OK')	image/jpeg	etag:%22572cac4b-76a68%22	http://shop.azelab.com/images/home-5/products/tabs/2.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/tabs/2.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:38:48	541050/541050	---M--	200	added ('OK')	image/jpeg	etag:%22572cac4f-8417a%22	http://shop.azelab.com/images/home-5/products/tabs/3.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/tabs/3.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:39:04	516583/516583	---M--	200	added ('OK')	image/jpeg	etag:%22572cac51-7e1e7%22	http://shop.azelab.com/images/home-5/products/tabs/4.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/tabs/4.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:39:07	534655/534655	---M--	200	added ('OK')	image/jpeg	etag:%22572cac51-8287f%22	http://shop.azelab.com/images/home-5/products/tabs/5.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/tabs/5.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:39:43	537452/537452	---M--	200	added ('OK')	image/jpeg	etag:%22572cac54-8336c%22	http://shop.azelab.com/images/home-5/products/tabs/6.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/tabs/6.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:40:24	596835/596835	---M--	200	added ('OK')	image/jpeg	etag:%22572cac54-91b63%22	http://shop.azelab.com/images/home-5/products/tabs/7.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/tabs/7.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:40:27	515412/515412	---M--	200	added ('OK')	image/jpeg	etag:%22572cac57-7dd54%22	http://shop.azelab.com/images/home-5/products/tabs/8.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/tabs/8.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:40:54	440832/440832	---M--	200	added ('OK')	image/jpeg	etag:%22572cac61-6ba00%22	http://shop.azelab.com/images/home-5/products/shop-by-flower/slides/s1.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/shop-by-flower/slides/s1.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:40:55	671170/671170	---M--	200	added ('OK')	image/jpeg	etag:%22572cac60-a3dc2%22	http://shop.azelab.com/images/home-5/products/shop-by-flower/slides/large1.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/shop-by-flower/slides/large1.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:41:34	433632/433632	---M--	200	added ('OK')	image/jpeg	etag:%22572cac68-69de0%22	http://shop.azelab.com/images/home-5/products/shop-by-flower/slides/s2.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/shop-by-flower/slides/s2.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:41:37	433298/433298	---M--	200	added ('OK')	image/jpeg	etag:%22572cac63-69c92%22	http://shop.azelab.com/images/home-5/products/shop-by-flower/slides/s3.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/shop-by-flower/slides/s3.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:41:51	81023/81023	---M--	200	added ('OK')	image/jpeg	etag:%22572cac6f-13c7f%22	http://shop.azelab.com/images/home-5/products/shop-by-flower/slides/style-shop/2.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/shop-by-flower/slides/style-shop/2.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:42:00	52937/52937	---M--	200	added ('OK')	image/jpeg	etag:%22572cac6e-cec9%22	http://shop.azelab.com/images/home-5/products/shop-by-flower/slides/style-shop/3.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/shop-by-flower/slides/style-shop/3.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:42:01	7049/7049	---M--	200	added ('OK')	image/jpeg	etag:%22572cac6f-1b89%22	http://shop.azelab.com/images/home-5/products/shop-by-flower/slides/style-shop/s1.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/shop-by-flower/slides/style-shop/s1.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:42:03	6885/6885	---M--	200	added ('OK')	image/jpeg	etag:%22572cac70-1ae5%22	http://shop.azelab.com/images/home-5/products/shop-by-flower/slides/style-shop/s2.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/shop-by-flower/slides/style-shop/s2.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:42:04	430431/430431	---M--	200	added ('OK')	image/jpeg	etag:%22572cac6a-6915f%22	http://shop.azelab.com/images/home-5/products/shop-by-flower/slides/s5.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/shop-by-flower/slides/s5.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:42:04	6766/6766	---M--	200	added ('OK')	image/jpeg	etag:%22572cac74-1a6e%22	http://shop.azelab.com/images/home-5/products/shop-by-flower/slides/style-shop/s3.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/shop-by-flower/slides/style-shop/s3.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:42:04	440794/440794	---M--	200	added ('OK')	image/jpeg	etag:%22572cac69-6b9da%22	http://shop.azelab.com/images/home-5/products/shop-by-flower/slides/s4.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/shop-by-flower/slides/s4.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:42:17	79415/79415	---M--	200	added ('OK')	image/jpeg	etag:%22572cac70-13637%22	http://shop.azelab.com/images/home-5/products/shop-by-flower/slides/style-shop/s3-1.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/shop-by-flower/slides/style-shop/s3-1.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:42:21	98985/98985	---M--	200	added ('OK')	image/jpeg	etag:%22572cac71-182a9%22	http://shop.azelab.com/images/home-5/products/shop-by-flower/slides/style-shop/s3-2.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/shop-by-flower/slides/style-shop/s3-2.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:42:24	111182/111182	---M--	200	added ('OK')	image/jpeg	etag:%22572cac73-1b24e%22	http://shop.azelab.com/images/home-5/products/shop-by-flower/slides/style-shop/s3-3.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/shop-by-flower/slides/style-shop/s3-3.jpg	(from http://shop.azelab.com/home-5-flower.html)
11:42:28	22320/22320	---M--	200	added ('OK')	image/jpeg	etag:%22572cac74-5730%22	http://shop.azelab.com/images/home-5/products/shop-by-flower/slides/style-shop/sm3-1.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-5/products/shop-by-flower/slides/style-shop/sm3-1.jpg	(from http://shop.azelab.com/home-5-flower.html)
